title,split_title
“三证合一、一照一码”登记制度改革是什么？具体推行时间和范围是如何规定的,三 证 合一 一照 一码 登记 制度 改革 推行 时间
财政部 国家税务总局关于全面推开营业税改征增值税试点的通知,财政部   国家税务总局 推开 营业税 改征 增值税 试点 通知
企业季度预缴所得税时，可以弥补以前年度亏损吗？,企业 季度 预缴 所得税 时 弥补 以前年度 亏损
小微企业不超过3万元暂免征收增值税的月销售额是否包括3万元？,小微 企业 超过 万元 暂免 征收 增值税 月 销售额 包括 万元
哪些资产损失用清单申报方式？哪些资产损失用专项申报方式？,资产 损失 清单 申报 方式 资产 损失 专项 申报 方式
国家税务总局关于落实“三证合一”登记制度改革的通知,国家税务总局 落实 三 证 合一 登记 制度 改革 通知
享受小型微利企业优惠政策需要哪些条件？,享受 小型 微利 企业 优惠政策 条件
国家税务总局关于全面推开营业税改征增值税试点有关税收征收管理事项的公告,国家税务总局 推开 营业税 改征 增值税 试点 税收 征收 管理 事项 公告
中华人民共和国印花税暂行条例,中华人民共和国 印花税 暂行条例
什么是财产转让所得？,财产 转让 所得
专用发票代开,专用发票 代开
中华人民共和国企业所得税法,中华人民共和国 企业 所得税法
小型微利企业可以享受什么企业所得税税收优惠？,小型 微利 企业 享受 企业 所得税 税收 优惠
申请代开发票的范围与对象是如何规定的？,申请 代 开发票 对象
增值税发票核定,增值税 发票 核定
增值税一般纳税人资格认定管理办法,增值税 纳税人 资格 认定 管理 办法
国家税务总局关于加强和规范税务机关代开普通发票工作的通知,国家税务总局 规范 税务机关 代开 普通发票 工作 通知
中华人民共和国企业所得税法实施条例,中华人民共和国 企业 所得税法 实施 条例
营改增以后小规模纳税人如何享受小微企业免征增值税优惠？,营 改增 小规模 纳税人 享受 小微 企业 免征 增值税 优惠
小微企业可以享受什么教育费附加和地方教育附加优惠？,小微 企业 享受 教育费 附加 地方 教育 附加 优惠
小微企业可以享受什么水利建设基金优惠？,小微 企业 享受 水利建设 基金 优惠
符合条件的小型微利企业的从业人数和资产总额指标是如何规定的？,符合条件 小型 微利 企业 从业 人数 资产 总额 指标
全面营改增后，其他个人出租不动产是否可以享受小微企业税收优惠政策？,营改 增后 个人 出租 不动产 享受 小微 企业 税收 优惠政策
全面营改增后，按季申报增值税的纳税人，实际经营不足一个季度的如何享受小微,营改 增后 按季 申报 增值税 纳税人 经营 季度 享受 小微
仅享受小微企业免征增值税政策或未达起征点的小规模纳税人是否需要填写《增值,享受 小微 企业 免征 增值税 政策 未 达 起征点 小规模 纳税人 填写 增值
享受小微企业优惠如何填写增值税申报表?,享受 小微 企业 优惠 填写 增值税 申报表
个体工商户符合小微企业免征增值税政策的免税销售额应如何填写增值税申报表?,个体 工商户 符合 小微 企业 免征 增值税 政策 免税 销售额 应 填写 增值税 申报表
个人购买商业健康保险的支出在税前扣除，是否必须获得税优识别码？,个人 购买 商业 健康 支出 税前 扣除 税优 识别码
天使投资个人投资的初创科技型企业注销的，如何处理？,天使 投资 个人 投资 初创 科技型 企业 注销
购买符合规定的商业健康保险产品，有何个人所得税优惠？,购买 符合规定 商业 健康 保险产品 有何 个人所得税 优惠
初创科技型企业接受天使投资个人投资满2年，在上海证券交易所、深圳证券交易,初创 科技型 企业 接受 天使 投资 个人 投资 年 上海证券交易所 深圳 证券交易
创业投资企业和天使投资个人以受让其他股东存量股权形式投资于初创型科技企业,创业投资 企业 天使 投资 个人 受让 股东 存量 股权 形式 投资 初创 型 科技 企业
巴氏杀菌乳增值税的适用税率是多少？,巴氏 杀菌 乳 增值税 税率
科技型中小企业的研发费用如何加计扣除？,科技型 中小企业 研发 费用 加计 扣除
棕榈油、棉籽油增值税税率是多少？,棕榈油 棉籽油 增值税 税率
花椒油适用的增值税税率是多少？,花椒油 增值税 税率
图书、报纸、杂志的增值税适用税率分别是多少？,图书 报纸 杂志 增值税 税率
饲料、化肥、农药的增值税适用税率分别是多少？,饲料 化肥 农药 增值税 税率
农机、农膜的增值税适用税率是多少？,农机 农膜 增值税 税率
挂面适用增值税税率是多少？,挂面 增值税 税率
2017年1月1日起，小型微利企业有何进一步的所得税优惠政策?,2017 年 月 日起 小型 微利 企业 有何 进一步 所得税 优惠政策
创业投资企业有哪些企业所得税优惠政策？,创业投资 企业 企业 所得税 优惠政策
可以享受研发费用加计扣除的科技型中小企业需要满足什么条件？,享受 研发 费用 加计 扣除 科技型 中小企业 条件
享受财税〔2017〕38号规定的税收试点政策的创业投资企业，需要符合什么,享受 财税 2017 38 号 税收 试点 政策 创业投资 企业 符合
初创科技型企业应符合什么条件？,初创 科技型 企业 应 符合 条件
天使投资个人投资初创科技型企业，有什么税收政策？,天使 投资 个人 投资 初创 科技型 企业 税收政策
科技型中小企业享受研发费用税前加计扣除政策的其他政策口径和管理事项如何执,科技型 中小企业 享受 研发 费用 税前 加计 扣除 政策 政策 口径 管理 事项 执
创业投资企业和天使投资个人税收优惠政策的执行时间及试点地区是如何规定的？,创业投资 企业 天使 投资 个人 税收 优惠政策 执行 时间 试点 地区
科技型中小企业享受研发费用加计扣除办理税收优惠备案时有何特殊要求？,科技型 中小企业 享受 研发 费用 加计 扣除 办理 税收 优惠 备案 时有何 特殊要求
因不符合科技型中小企业条件而被科技部门撤销登记编号的企业，是否可以享受研,符合 科技型 中小企业 条件 科技 部门 撤销 登记 编号 企业 享受 研
音像制品、电子出版物增值税适用税率是多少？,音像制品 电子 出版物 增值税 税率
物流企业的大宗商品仓储设施用地如何缴纳城镇土地使用税?,物流 企业 大宗 商品 仓储 设施 用地 缴纳 城镇 土地 使用税
农用水泵、农用柴油机的增值税税率是多少？,农用 水泵 农用 柴油机 增值税 税率
